Task ID,Task,Status,Phase,Epic,Workstream,Priority,Quarter,Sprint,Story Points,Estimate (h),% Complete,Team,Owner,Stakeholder,Start Date,Due Date,Dependencies,Risk,Business Impact,Success Metric / OKR,Components / Files,Labels,Acceptance Criteria,Description
PB-011,Merge Shop into Marketplace + redirect,Not started,Phase 1 - Foundation,E2 - Information Architecture,Information Architecture,P1,Q3 2026,Sprint 2,2,4,0,Frontend,,Product,2026-06-30,2026-07-01,"PB-010,PB-014",Low,Medium,"Duplicate catalog entry points: 2 to 1","app/marketplace,next.config.mjs","ia,redirect","/shop 301-redirects to /marketplace; Shop removed from nav; no orphaned links","Collapse /shop and /marketplace into one catalog with redirect"
PB-012,Demote Categories & Scenarios to facets,Not started,Phase 1 - Foundation,E2 - Information Architecture,Information Architecture,P1,Q3 2026,Sprint 2,3,8,0,Frontend,,Product,2026-07-02,2026-07-07,PB-010,Medium,Medium,"Top-level concepts reduced from 8 to 6","app/categories,app/scenarios","ia,refactor","Categories/Scenarios reachable as filters within bots; removed from top-level nav; deep links still resolve","Treat categories and scenarios as filtered views of bots rather than top-level destinations"
PB-013,Define top-level nav model,Not started,Phase 1 - Foundation,E2 - Information Architecture,Information Architecture,P0,Q2 2026,Sprint 1,2,4,0,Product,,Product,2026-06-16,2026-06-18,PB-010,Medium,High,"Clear 6-item primary taxonomy","lib/content/navigation.ts","ia,P0","Top level = Product/Solutions/Industries/Resources/Pricing/Company; Legal in footer; redundant entry points removed","Establish the canonical top-level taxonomy and remove overlapping entry points"
PB-014,Add redirects in next.config.mjs,Not started,Phase 1 - Foundation,E2 - Information Architecture,Information Architecture,P1,Q3 2026,Sprint 2,1,2,0,Frontend,,Eng Lead,2026-06-30,2026-06-30,PB-011,Low,Medium,"0 broken legacy links","next.config.mjs","ia,redirect","All retired/duplicate routes 301 to canonical targets; verified in build output","Configure redirects for retired/duplicate routes"
PB-015,Add branded 404 (not-found.tsx),Not started,Phase 1 - Foundation,E3 - System & SEO Pages,System Pages,P0,Q2 2026,Sprint 1,2,4,0,Frontend,,Eng Lead,2026-06-22,2026-06-24,"PB-001,PB-002",Medium,High,"0 unstyled error screens","app/not-found.tsx","system,seo,P0","Unknown route shows branded 404 with header/footer, search, recovery links; no unstyled default","app/not-found.tsx with brand styling, search, and navigation recovery"
PB-016,Add error & global-error boundaries,Not started,Phase 1 - Foundation,E3 - System & SEO Pages,System Pages,P1,Q3 2026,Sprint 2,2,4,0,Frontend,,Eng Lead,2026-06-30,2026-07-01,,Medium,High,"0 white-screen crashes","app/error.tsx,app/global-error.tsx","system,resilience","Render error shows branded fallback with retry; logged; no white screen","Branded error and global-error boundaries with retry"
PB-017,Add loading states & skeletons,Not started,Phase 1 - Foundation,E3 - System & SEO Pages,System Pages,P1,Q3 2026,Sprint 2,3,8,0,Frontend,,Eng Lead,2026-07-02,2026-07-07,,Low,Medium,"CLS < 0.1 on route transitions","app/loading.tsx,app/(app)/loading.tsx","system,ux","Route transitions show skeletons; no layout shift; app routes covered","app/loading.tsx + per-section skeletons for app routes"
PB-018,Add sitemap.ts,Not started,Phase 1 - Foundation,E3 - System & SEO Pages,SEO,P1,Q3 2026,Sprint 2,2,4,0,Frontend,,Marketing,2026-07-07,2026-07-08,PB-010,Low,Medium,"100% of routes in sitemap","app/sitemap.ts","seo","Sitemap lists static + dynamic routes (bots, knowledge, workflows, scenarios, industries); valid XML","Generate sitemap from nav model + dynamic routes"
PB-019,Add robots.ts,Not started,Phase 1 - Foundation,E3 - System & SEO Pages,SEO,P1,Q3 2026,Sprint 2,1,1,0,Frontend,,Marketing,2026-07-07,2026-07-07,PB-018,Low,Medium,"Valid robots.txt served","app/robots.ts","seo","robots.txt served with sitemap reference and crawl rules","robots.txt with sitemap reference and crawl rules"
PB-020,Add default Open Graph image,Not started,Phase 1 - Foundation,E3 - System & SEO Pages,SEO,P2,Q3 2026,Sprint 3,2,4,0,Design,,Marketing,2026-07-14,2026-07-15,,Low,Medium,"Rich social preview on all shares","app/opengraph-image.tsx","seo,design","Shared OG card renders for pages without a custom image; passes social debuggers","Default Open Graph card for social sharing"
PB-021,Add breadcrumbs to marketing pages,Not started,Phase 1 - Foundation,E1 - Navigation & Shell Unification,Navigation,P2,Q3 2026,Sprint 2,2,4,0,Frontend,,Eng Lead,2026-07-08,2026-07-09,PB-003,Low,Medium,"Orientation on 100% of deep pages","components/layout/RuntimeBreadcrumbs.tsx","navigation,ux","Marketing pages show breadcrumbs reflecting hierarchy; home excluded","Add breadcrumbs to marketing pages (currently app-only)"
PB-022,Fix Studio page to demonstrate,Not started,Phase 1 - Foundation,E4 - SaaS Scaffolding,Content,P2,Q3 2026,Sprint 3,2,4,0,Frontend,,Product,2026-07-14,2026-07-15,,Low,Medium,"Studio demo interaction rate up","app/studio/page.tsx,components/ai/AiDemoPanel.tsx","content,ux","Studio embeds working AiDemoPanel; misleading LIVE badge removed or made accurate","Embed real AiDemoPanel on /studio; remove misleading LIVE DEMO badge that links away"
PB-023,Add login route placeholder,Not started,Phase 1 - Foundation,E4 - SaaS Scaffolding,SaaS Scaffolding,P1,Q3 2026,Sprint 2,2,4,0,Frontend,,Product,2026-07-02,2026-07-03,PB-001,Low,High,"Auth entry point exists","app/(auth)/login/page.tsx","saas,auth","/(auth)/login renders branded UI; Sign in CTA routes to it; backend deferred","UI-only login placeholder wired to Sign in CTA"
PB-024,Add signup route placeholder,Not started,Phase 1 - Foundation,E4 - SaaS Scaffolding,SaaS Scaffolding,P1,Q3 2026,Sprint 2,2,4,0,Frontend,,Product,2026-07-02,2026-07-03,PB-001,Low,High,"Signup entry point exists","app/(auth)/signup/page.tsx","saas,auth","/(auth)/signup renders branded UI; Get started CTA routes to it; backend deferred","UI-only signup placeholder wired to Get started CTA"
PB-025,Add pricing page,Not started,Phase 1 - Foundation,E4 - SaaS Scaffolding,SaaS Scaffolding,P1,Q3 2026,Sprint 2,3,8,0,Product,,Product,2026-07-07,2026-07-10,PB-010,Medium,High,"Pricing page live; nav-linked","app/pricing/page.tsx","saas,content","Pricing page with tier comparison + contact CTA; linked from nav; responsive","Pricing page with placeholder tier structure + contact CTA"
PB-026,Add account stub,Not started,Phase 1 - Foundation,E4 - SaaS Scaffolding,SaaS Scaffolding,P2,Q3 2026,Sprint 3,1,2,0,Frontend,,Product,2026-07-14,2026-07-14,PB-023,Low,Medium,"Protected route scaffold ready","app/account/page.tsx","saas,auth","/account renders protected-route placeholder; ready for future auth gate","Protected-route placeholder for future authed product"
PB-027,Add z-index token scale,Not started,Phase 1 - Foundation,E5 - Design System Hygiene,Design System,P1,Q2 2026,Sprint 1,2,4,0,Design,,Design Lead,2026-06-18,2026-06-20,,Medium,Medium,"0 hardcoded z-index in nav/overlay layers","app/globals.css","design-system,tokens","z-index tokens defined and applied to header/menu/overlays/cursor; no hardcoded 9999 in those layers","Introduce z-index tokens; fix hardcoded stacking values and collisions"
PB-028,Delete dead PageShell.tsx,Not started,Phase 1 - Foundation,E5 - Design System Hygiene,Design System,P3,Q3 2026,Sprint 3,1,1,0,Frontend,,Eng Lead,2026-07-14,2026-07-14,,Low,Low,"Dead code removed","components/layout/PageShell.tsx","cleanup","Unused component removed; no imports break; build passes","Remove unused components/layout/PageShell.tsx"
PB-029,Extract ContentPage + SectionHeader primitives,Not started,Phase 1 - Foundation,E5 - Design System Hygiene,Design System,P2,Q3 2026,Sprint 3,3,8,0,Frontend,,Design Lead,2026-07-15,2026-07-18,,Low,Medium,"Inline-style blocks per page: 40+ to <5","components/layout/ContentPage.tsx","design-system,refactor","Repeated inline styles on detail/marketing pages replaced by shared primitives; visual parity maintained","Replace 40-53 inline style blocks per page with shared layout primitives"
PB-030,"Verify: typecheck, build, route walkthrough",Not started,Phase 1 - Foundation,E6 - QA & Release,QA,P0,Q3 2026,Sprint 3,2,4,0,QA,,QA Lead,2026-07-21,2026-07-25,"PB-005,PB-006,PB-007,PB-015",Medium,High,"0 broken links; build green","","qa,release","typecheck + build pass; every route has header/footer; no broken links/redirects; a11y smoke pass","Run typecheck + build; walk key routes to confirm chrome present everywhere and no broken links"
PB-031,Auth + backend persistence,Backlog,Phase 2 - Product Depth,E7 - Auth & Backend Persistence,SaaS Backend,P1,Q3 2026,Backlog,21,120,0,Fullstack,,CTO,2026-07-28,2026-08-22,PB-030,High,Critical,"Workspace data loss incidents: 0","","epic,saas,backend","Real auth (provider chosen); Workspace persists server-side with export/import + versioning; data-loss risk eliminated","EPIC: Authentication + Workspace backend persistence with export/import and versioning"
PB-032,Marketplace commerce,Backlog,Phase 2 - Product Depth,E8 - Marketplace Commerce,SaaS Backend,P1,Q3 2026,Backlog,13,80,0,Fullstack,,Product,2026-07-28,2026-08-15,PB-030,Medium,High,"First transaction completed E2E","","epic,saas,commerce","Pagination, sorting, pricing tiers, and a working purchase/cart flow implemented and tested","EPIC: Pagination, sorting, pricing tiers, and functional purchase/cart flow"
PB-033,Unified global search,Backlog,Phase 2 - Product Depth,E9 - Unified Search,Feature,P1,Q3 2026,Backlog,13,64,0,Fullstack,,Product,2026-08-01,2026-08-22,PB-030,Medium,High,"1 search surface (was 4)","","epic,search","Single search across bots/workflows/scenarios/knowledge replaces fragmented search; relevant results + keyboard nav","EPIC: Unified search across all entities; retire per-area search"
PB-034,Real Control Center telemetry,Backlog,Phase 2 - Product Depth,E10 - Telemetry,Feature,P2,Q3 2026,Backlog,13,64,0,Fullstack,,Product,2026-08-18,2026-09-12,PB-031,Medium,Medium,"100% real metrics (0 synthetic)","","epic,telemetry","Synthetic metrics replaced with real usage data; dashboards reflect actual runs/failures","EPIC: Replace synthetic sine-wave metrics with real usage telemetry"
PB-035,Complete accessibility modes,Backlog,Phase 3 - Hardening,E11 - Accessibility,Design System,P2,Q3 2026,Backlog,8,40,0,Design,,Design Lead,2026-09-01,2026-09-19,PB-030,Medium,High,"WCAG AA verified; 14/14 modes live","","epic,a11y","All 14 accessibility modes implemented; font scaling works; contrast-safe focus ring; WCAG AA verified","EPIC: Implement all 14 accessibility modes, font scaling, contrast-safe focus ring (currently 5 of 14)"
PB-036,Tokenize motion layer,Backlog,Phase 3 - Hardening,E12 - Motion Tokens,Design System,P3,Q3 2026,Backlog,5,24,0,Frontend,,Design Lead,2026-09-15,2026-09-26,PB-030,Low,Low,"0 hardcoded motion durations","","epic,design-system,motion","Cursor/shader/scroll-reveal timings driven by motion tokens; reduced-motion honored","EPIC: Move hardcoded cursor/shader/scroll-reveal timings into motion tokens"
PB-037,Content hub (blog + case studies),Backlog,Phase 3 - Hardening,E13 - Content Hub,Content,P2,Q3 2026,Backlog,13,80,0,Content,,Marketing,2026-09-01,2026-09-30,PB-030,Low,High,"Organic traffic baseline established","","epic,content,seo","Blog + case-studies hub live with CMS-ready structure; per-route OG images; indexed in sitemap","EPIC: Blog and case-studies hub for SEO/credibility; full per-route OG image set"
